身長	신　장
体重	체　중
バスト	가　슴
ウエスト	허　리
ヒップ	엉덩이
頭	머리
顔	얼굴
目のサイズ(横)	눈 크기(가로)
目のサイズ(縦)	눈 크기(세로)
目の位置(横)	눈 위치(가로)
目の位置(縦)	눈 위치(세로)
顔のサイズ(横)	머리 크기(가로)
顔のサイズ(縦)	머리 크기(세로)
眉	눈썹
目	눈
目ハイライト	눈빛
ほくろ	점
唇	입술
歯	이빨
眉カラーをお好きな色に。	눈썹 컬러를 좋아하는 색으로.
自由に色を変更できます。	자유롭게 색을 변경할 수 있습니다.
レッドカラーがベースになります。	레드 칼라가 베이스가 됩니다.
イエローカラーがベースになります。	옐로우 칼라가 베이스가 됩니다.
シルバーカラーがベースになります。	실버 칼라가 베이스가 됩니다.
パープルカラーがベースになります。	퍼플 칼라가 베이스가 됩니다.
ブルーカラーがベースになります。	블루 칼라가 베이스가 됩니다.
グリーンカラーがベースになります。	그린 컬러가 베이스가 됩니다.
ピンクカラーがベースになります。	핑크 칼라가 베이스가 됩니다.
髪	헤어
前髪	앞머리
後髪	뒷머리
横髪	옆머리
エクステ髪	묶은머리
アホ毛	삐침머리
髪色	머리색
レッド	레드
ピンク	핑크
オレンジ	오렌지
イエロー	옐로우
ライトグリーン	라이트 그린
グリーン	그린
シアン	시안
ブルー	블루
ライトパープル	라이트 퍼플
パープル	퍼플
シルバー	실버
ブラウン	브라운
ダークブラウン	다크 브라운
ブラック	블랙
あなたのお好みの髪色に。	당신이 좋아하는 머리색으로.
髪をレッドカラーにします。	머리카락을 레드 칼라로 합니다.
髪をピンクカラーにします。	머리카락을 핑크 칼라로 합니다.
髪をオレンジカラーにします。	머리카락을 오렌지 칼라로 합니다.
髪をイエローカラーにします。	머리카락을 옐로우 칼라로 합니다.
髪をライトグリーンカラーにします。	머리카락을 라이트 그린 컬러로 합니다.
髪をグリーンカラーにします。	머리카락을 그린 컬러로 합니다.
髪をシアンカラーにします。	머리카락을 시안 칼라로 합니다.
髪をブルーカラーにします。	머리카락을 블루 칼라로 합니다.
髪をライトパープルカラーにします。	머리카락을 라이트 퍼플 칼라로 합니다.
髪をパープルカラーにします。	머리카락을 퍼플 칼라로 합니다.
髪をシルバーカラーにします。	머리카락을 실버 칼라로 합니다.
髪をブラウンカラーにします。	머리카락을 브라운 칼라로 합니다.
髪をダークブラウンカラーにします。	머리카락을 다크 브라운 칼라로 합니다.
髪をブラックカラーにします。	머리카락을 블랙 칼라로 합니다.
身体	신체
全身	전신
足の長さ	다리 길이
胴の長さ	몸(다리) 길이
胸	가슴
胸のサイズ	가슴 크기
胸のたれ	가슴 늘어짐
胸上下	가슴 상하
胸寄り	가슴 편향
上半身	상반신
ウェスト	허　리
お腹	배
肩幅	어깨
腕の太さ	팔 굵기
腕の長さ	팔 길이
首の長さ	목 길이
下半身	하반신
足の太さ	다리 굵기
足の太さ2	다리 굵기 2
肌	피부
乳首	유두
タトゥー	타투
アンダーヘア	언더헤어
通常肌・カスタマイズ	통상피부ㆍ커스터마이즈
スク水あと・カスタマイズ	학교수영복 자국·커스터마이즈
スリングショットあと・カスタマイズ	슬링샷 자국·커스터마이즈
ハートビキニあと・カスタマイズ	하트 비키니 자국·커스터마이즈
ビキニあと・カスタマイズ	비키니 자국·커스터마이즈
マイクロビキニあと・カスタマイズ	마이크로 비키니 자국·커스터마이즈
スポーツ日焼けあと・カスタマイズ	스포츠웨어 자국ㆍ커스터마이즈
通常肌・ライトイエロー	통상피부ㆍ라이트 옐로우
スク水あと	학교수영복 자국
スリングショットあと	슬링샷 자국
ハートビキニあと	하트 비키니 자국
ビキニあと	비키니 자국
マイクロビキニあと	마이크로 비키니 자국
スポーツ日焼けあと	스포츠웨어 자국
通常肌・ライトホワイト	통상피부ㆍ라이트 화이트
スク水あと・ライトホワイト	학교수영복 자국ㆍ라이트 화이트
スリングショットあと・ライトホワイト	슬링샷 자국ㆍ라이트 화이트
ハートビキニあと・ライトホワイト	하트 비키니 자국ㆍ라이트 화이트
ビキニあと・ライトホワイト	비키니 자국ㆍ라이트 화이트
マイクロビキニあと・ライトホワイト	마이크로 비키니 자국ㆍ라이트 화이트
