ドキドキ ☆ Fallin\' Love	두근두근 ☆ Fallin' Love
カスタムメイド3D2 オープニングテーマ歌 : nao(純真性格) / 佐咲紗花(ツンデレ性格) / 美郷あき(クーデレ性格)作曲・作詞 : 坂本 概阿	커스텀 메이드 3D 2 오프닝 테마\n노래: nao(순진) / 사사키 사야카(츤데레) / 미사토 아키(쿨데레)\n작곡ㆍ작사: 사카모토 가이아
カスタムメイド3D エンディングテーマ歌 : nao作曲・編曲 : Cosmic Cube 作詞 : 山下 慎一狼	커스텀 메이드 3D 엔딩 테마\n노래: nao\n작곡ㆍ편곡: Cosmic Cube / 작사: 야마시타 신이치로
カスタムメイド3D オープニングテーマ歌 : nao作曲・編曲 : ARM(IOSYS) 作詞 : 山下 慎一狼	커스텀 메이드 3D 오프닝 테마\n노래: nao\n작곡ㆍ편곡: ARM(IOSYS) / 작사: 야마시타 신이치로
stellar my tears ver.nao	stellar my tears (nao)
カスタムメイド3D2 PLUS歌 : nao作曲・編曲 : 山田 重利 作詞 : 山下 慎一狼 ギター : 寺前 甲(Demetori)	커스텀 메이드 3D 2 Plus\n노래: nao\n작곡ㆍ편곡: 야마다 시게토시 / 작사: 야마시타 신이치로 / 기타: 테라사키 마사루(Demetori)
stellar my tears ver.佐咲紗花	stellar my tears (사사키 사야카)
カスタムメイド3D2 PLUS歌 : 佐咲紗花作曲・編曲 : 山田 重利 作詞 : 山下 慎一狼 ギター : 寺前 甲(Demetori)	커스텀 메이드 3D 2 Plus\n노래: 사사키 사야카\n작곡ㆍ편곡: 야마다 시게토시 / 작사: 야마시타 신이치로 / 기타: 테라사키 마사루(Demetori)
stellar my tears ver.美郷あき	stellar my tears (미사토 아키)
カスタムメイド3D2 PLUS歌 : 美郷あき作曲・編曲 : 山田 重利 作詞 : 山下 慎一狼 ギター : 寺前 甲(Demetori)	커스텀 메이드 3D 2 Plus\n노래: 미사토 아키\n작곡ㆍ편곡: 야마다 시게토시 / 작사: 야마시타 신이치로 / 기타: 테라사키 마사루(Demetori)
カスタムメイド3D スキルパック2 主題歌歌 : nao作曲・編曲 : Cosmic Cube 作詞 : 山下 慎一狼	커스텀 메이드 3D 스킬팩 2 주제가\n노래: nao\n작곡ㆍ편곡: Cosmic Cube / 작사: 야마시타 신이치로
