演出をスキップする	연출을 스킵한다
演出をスキップしない	연출을 스킵하지 않는다
さぁ、たった今を持ちまして全ての演目が終了致しましたっ！	자, 지금 막 모든 종목이 종료되었습니다!
……ご主人様、次回はもっと頑張りましょうね。	주인님, 다음에는 좀더 힘내세요.
これをもちまして本日のメイドバトルは閉演となります。それではまた次回のバトルでお会いしましょう！	이것으로 오늘의 메이드 배틀이 끝났습니다. 그럼 또 다음 배틀에서 만나요!
俺のエンパイアクラブで働いてくれているメイドの人数も随分増えていた。	나의 엠파이어 클럽에서 일하고 있는 메이드의 인원수도 상당히 늘어나 있다.
人数が少なかったころに比べて、メイド同士で助け合ったり、競い合ったり……そんな機会が増えていた。	인원수가 적었을 때에 비해, 메이드끼리 서로 돕거나, 서로 경쟁하거나…… 그럴 기회가 늘어났다.
そんな中、メイド秘書から俺は提案を受ける。	그런 가운데, 메이드 비서로부터 제안을 받았다.
『よく働いてくれているメイドを、MVPとして表彰するのはどうでしょうか？』	『일 잘하는 메이드를, MVP로서 표창하는 것은 어떨까요?』
俺はその一言を聞いて、早速その機会を用意する事にしたのだった。	나는 그 조언을 받아들여, 바로 그 기회를 마련하기로 했다.
用意する、と言ってもそこまで大袈裟な事ではない。	마련한다, 라고 해도 그렇게까지 거창한 일은 아니다.
一定期間毎に、その期間内に一番エンパイアクラブに貢献してくれたメイドをMVPに選ぶだけだ。	일정 기간마다, 그 기간내에 제일 엠파이어 클럽에 공헌해 준 메이드를 MVP로 선택할 뿐이다.
誰がMVPに選ばれるかな。	누가 MVP로 선택되려나.
俺はMVPの表彰を楽しみにするのであった。	나는 MVP의 표창을 기대하는 것이었다.
お疲れ様、みんなもよく頑張ってくれたね。	수고했어, 모두 열심히 해 줬네.
それじゃ、今回のMVPは……	그럼, 이번 MVP는……
本当に良く頑張ってくれたね。この調子で次も頑張ってね。	정말 열심히 해 줬네. 이 기세로 앞으로도 열심히 해 줘.
ふふんっ、当然ね。もっと褒めてもいいのよ？	흐흥, 당연하지. 좀더 칭찬해도 괜찮다구?
……あ、ありがとう……なんだか照れくさいわ。	……고, 고마워……왠지 부끄럽네.
はい！　お任せください、ご主人様。	네! 맡겨 주세요, 주인님.
ふふっ、私が一番だなんて光栄です。次回も精進させていただきます。	후훗, 제가 일등이라니 영광이에요. 앞으로도 정진하도록 하겠어요.
はぁい、えへへ……お姉ちゃん、これからも頑張って立派なメイドを目指すね！	네에~, 에헤헤…… 누나, 앞으로도 노력해서 훌륭한 메이드를 목표로 할게!
$^嬉しそうな笑顔を浮かべる(.+?)。$	행복해 보이는 미소를 짓는 $1.
これからもメイドとして、懸命に尽力してくれる事だろう。	앞으로도 메이드로서, 열심히 최선을 다 할 것이다.
