セーブしていないデータは失われます。終了しますか？	세이브하지 않은 데이터는 없어집니다.\n종료하시겠습니까?
キャラクター選択	캐릭터 선택
表情	표정
モーション	모션
背景	배경
背景オブジェクト	배경 소품
背景座標	배경 설정
全て閉じる	모두 최소화
ヘルプ表示	도움말 표시
セーブ	세이브
ロード	로드
サウンド	사운드
撮影	촬영
UI位置初期化	UI 위치 초기화
最小化	최소화
表示する	표시한다
カメラフォーカス	카메라 포커스
軸の表示設定	축 표시설정
移動軸	이동축
回転軸	회전축
軸表示なし	표시안함
位置	위치
回転	회전
拡縮	크기
倍率	배율
リセット	Reset
コピー	Copy
ペースト	Paste
配置を解除	배치해제
キャラクター選択なし	선택된 캐릭터 없음
一般	일반
通常	통상
微笑み	작은미소
笑顔	기쁨
にっこり	생긋
優しさ	상냥함
発情	발정
ジト目	지긋이
閉じ目	감은눈
思案伏せ目	생각에 잠긴 눈
ドヤ顔	의기양양
引きつり笑顔	굳어진 미소
苦笑い	쓴웃음
困った	어이없음
疑問	의문
ぷんすか	토라진
むー	무관심
泣き	울음
拗ね	속상한
照れ	쑥쓰러운
悲しみ	슬픔
きょとん	멍하니
びっくり	깜짝 놀란다
少し怒り	조금화남
怒り	분노
照れ叫び	쑥쓰러운 주장
誘惑	유혹하는
接吻	입맞춤
居眠り	잠든 얼굴
まぶたギュ	꼭감은 눈
目を見開く	눈을 크게뜨고
痛みで目を見開く	아픔에 눈을 부릅뜨고
恥ずかしい	부끄러운
ため息	한숨
目口閉じ	눈감고 다문입
ウインク照れ	쑥쓰러운 윙크 
ダンス	댄스
目つむり	눈비비기
あくび	하품
目あけ	눈뜨기
目とじ	눈감기
困り顔	곤란한 얼굴
ウインク	윙크
真剣	진지
憂い	걱정
キス	키스
エロ	에로
通常１	통상 1
通常２	통상 2
通常３	통상 3
興奮１	흥분 1
興奮２	흥분 2
興奮３	흥분 3
興奮４	흥분 4
好感１	만족 1
好感２	만족 2
好感３	만족 3
期待	기대
羞恥１	수치 1
羞恥２	수치 2
羞恥３	수치 3
緊張	긴장
我慢１	불만족 1
我慢２	불만족 2
我慢３	불만족 3
嫌悪	혐오
痛み１	아픔 1
痛み２	아픔 2
痛み３	아픔 3
痛み我慢１	아픔을 참는 1
痛み我慢２	아픔을 참는 2
痛み我慢３	아픔을 참는 3
怯え	놀람
エロ泣き	에로 울기
あーん	아~ㅇ
舌責	혀애무
舌責快楽	혀애무 쾌락
舌責嫌悪	혀애무 혐오
舐め通常１	핥기 통상 1
舐め通常２	핥기 통상 2
舐め愛情１	핥기 애정 1
舐め愛情２	핥기 애정 2
舐め快楽１	핥기 쾌락 1
舐め快楽２	핥기 쾌락 2
舐め嫌悪１	핥기 혐오 1
舐め嫌悪２	핥기 혐오 2
フェラ通常	페라 통상
フェラ愛情	페라 애정
フェラ快楽	페라 쾌락
フェラ嫌悪	페라 혐오
閉じ舐め通常１	눈감고 핥기 통상 1
閉じ舐め通常２	눈감고 핥기 통상 2
閉じ舐め愛情１	눈감고 핥기 애정 1
閉じ舐め愛情２	눈감고 핥기 애정 2
閉じ舐め快楽１	눈감고 핥기 쾌락 1
閉じ舐め快楽２	눈감고 핥기 쾌락 2
閉じ舐め嫌悪１	눈감고 핥기 혐오 1
閉じ舐め嫌悪２	눈감고 핥기 혐오 2
閉じフェラ通常	눈감고 페라 통상
閉じフェラ愛情	눈감고 페라 애정
閉じフェラ快楽	눈감고 페라 쾌락
閉じフェラ嫌悪	눈감고 페라 혐오
通常射精後１	통상 사정후 1
通常射精後２	통상 사정후 2
絶頂射精後１	절정 사정후 1
絶頂射精後２	절정 사정후 2
興奮射精後１	흥분 사정후 1
興奮射精後２	흥분 사정후 2
余韻	여운
絶頂	절정
放心	방심
表情追加オプション	표정 추가 옵션
頬染め1	홍조 1
頬染め2	홍조 2
頬染め3	홍조 3
涙1	눈물 1
涙2	눈물 2
涙3	눈물 3
赤面	붉은얼굴
涎	침흘림
涙(玉)	고인눈물
ショック	쇼크
口を開く	입벌리기
視線設定	시선 설정
視線追従	시선 따라가기
カメラへ顔を向ける	카메라를 바라본다
顔向き左右	얼굴 방향 (↔)
