$^(.+?)を購入しますか\?資金\s-	$1\n을(를) 구입합니까?\n자금 -
$^(.+?)を購入しました$	$1\n을(를) 구입했습니다
衣装	의상
帽子	모자
ヘッドドレス	헤드드레스
トップス	상의
ボトムス	하의
ワンピース	원피스
水着	수영복
パンツ	팬티
靴下	양말
靴	신발
大きなリボン髪飾り	커다란 리본 머리장식
大きくてかわいいリボンの髪飾り。少しばかり大きすぎな気もします。	크고 사랑스러운 리본 머리장식.\n약간 큰거같은 기분도 듭니다.
狐面	여우가면
おちゃめな狐のお面。着ければお祭り気分です。	장난스러운 여우의 가면.\n쓰면 축제 기분입니다.
旧メイドキャップ	구메이드 캡
旧式なメイドキャップ。ヘッドドレスと違って、見かけにくい。それでも根強い人気を誇ります。	구식의 메이드 캡.\n헤드드레스와 달리, 보기가 힘들다. 그런데도 뿌리깊은 인기를 자랑합니다.
ウェイトレスカチューシャ	웨이트리스 카츄샤
キュートなウェイトレスカチューシャ。フリフリ＆リボンがとってもキュート。頭の上からキュートに染まります。	귀여운 웨이트리스 카츄샤.\n살랑살랑&리본이 정말 귀엽다. 머리끝부터 귀여움으로 물듭니다.
ナースキャップ	간호사 캡
ナースさんのキャップ。ナースといえばこちらのキャップ。医学への意識が高まる気がします。	간호사님의 캡. 널스라고 하면 이쪽의 캡. 의학에의 의식이 높아질 생각이 듭니다.
バニーカチューシャ	바니 카츄샤
バニーガールのカチューシャ。いわゆるうさみみ。これがないとバニーとは言えません。	바니걸의 카츄샤.\n이른바 토끼 귀. 이것이 없으면 바니라고는 말할 수 없습니다.
ウェイトレスウェア	웨이트리스 웨어
キュートなウェイトレスウェア。なかなか大胆な肩出しです。カフェでみかけたら目で追います。	귀여운 웨이트리스 웨어.\n꽤나 대담하게 어깨를 들어냅니다. 카페에서 보면 눈으로 쫓습니다.
スクールセーラー服	스쿨 세라복
長袖のセーラー服。着れば瞬く間に青春へ。背伸びにもサバ読みにも利用可能。	긴소매의 세라복. 입으면 순식간에 청춘으로. 발돋움에도 사바 읽기에도 이용가능.
スクールブレザー服	스쿨 블레이저복
ブレザー制服の上着。礼服としても使えるフォーマルな作り。学校を選ぶ基準にもなります。	블레이저 제복의 상의.\n예복으로도 사용할 수 있는 포멀한 형태. 학교를 선택하는 기준이 되기도 합니다.
裸ワイシャツ	알몸 와이셔츠
せくすぃな裸ワイシャツです。みえそうで、見えないっ！	섹시한 알몸 와이셔츠입니다.\n보일것처럼, 안보인닷!
チアウェア	치어 웨어
チアガールのウェア。元気に応援する女の子にぴったり。とても短く、見ると元気が湧きそう。	치어걸의 웨어. 건강하게 응원하는 여자 아이에게 딱. 매우 짧고 보면 건강이 솟아 오를 것 같다.
脱ぎ掛け裸ワイシャツ	살짝 벗은 알몸 와이셔츠
えっちぃな裸ワイシャツです。みえたっ！やった！私にも見えた！	H한 알몸 와이셔츠입니다.\n보였닷! 해냈어! 나에게도 보였다!
ミニ浴衣上布	미니 유카타 상의
ミニな浴衣の上布。粋な花柄模様が情緒たっぷり。古風のようで、モダンテイスト。	미니 유카타의 상의. 세련된 꽃무늬 모양이 정서 충분히. 고풍스럽고, 모던 스타일.
ウェイトレススカート	웨이트리스 스커트
キュートなウェイトレススカート。主張しきらないフリルがステキです。チラリふわりとキュートを振りまく。	귀여운 웨이트리스 스커트. 다 주장하지 않는 프릴이 멋집니다. 슬쩍 살짝 귀여움을 뿌린다.
チェックスカート	체크무늬 스커트
チェック柄のスカート。いつの時代も指折りの人気。普遍的な良さがここにはあります。	체크무늬의 스커트. 어느시대도 손꼽히는 인기. 보편적인 좋은 점이 여기에는 있습니다.
プリーツスカート	플리츠 스커트
短めのプリーツスカート。どうしてもチラチラ目が行きます。これ以上短くするのは校則違反です！	약간 짧은 듯한 플리츠 스커트. 아무래도 힐끔힐끔 눈길이 갑니다. 더 이상 짧게 하는 것은 교칙 위반입니다!
チアスカート	치어 스커트
チアガールのミニなスカート。あえて見せていくのです。見せてもいいパンツがオススメです。	치어걸의 미니인 스커트. 굳이 보여 갑니다. 보여도 괜찮은 팬츠가 추천입니다.
キューティフリルスカート	큐티 프릴 스커트
キューティでフリフリなスカート。腰のリボン飾りがベリーキュート。水着と合わせて更にキュートに。	큐티로 살랑살랑스커트. 허리의 리본 장식이 배리 큐트. 수영복과 합해 더욱 매력적으로.
ミニ浴衣下布	미니 유카타 하의
ミニな浴衣の下布。伝統的な和風ミニです。	미니인 유카타하 옷감. 전통적인 일본식 미니입니다.
チャイナドレス	차이나 드레스
セクシーなチャイナドレスアルヨ。結構タイトで際どいネ。スリットから覗いちゃダメアルヨ。	섹시인 체이나드레스아르요. 상당히 타이트로 아슬아슬한 네. 슬릿으로부터 들여다 봐서는 다메아르요.
ナースワンピース	간호사 원피스
ナースさんのワンピース。スカートの丈が短く動きやすいです。患者さんの元へすぐに駆け寄れます。	널스씨의 원피스. 스커트의 키가 짧게 움직이기 쉽습니다. 환자분의 슬하로 곧바로 달려들 수 있습니다.
旧メイドドレス	구메이드 드레스
旧式なメイドドレス。基本的には地味なものです。その慎ましさが最大の魅力です。	구식의 메이드 드레스. 기본적으로는 수수한 것입니다. 그 조신함이 최대의 매력입니다.
網柄ボディストッキング	망사 바디 스타킹
