トロフィー取得率	트로피 취득율
総計メイドポイント	메이드 포인트 총계
メイドポイント	메이드 포인트
エンパイアクラブへようこそ	엠파이어 클럽에 오신 것을 환영합니다.
新しくゲームを開始した	새 게임을 시작했다
みんなのメイド	모두의 메이드
フリーメイドを1人作成した	프리 메이드를 1명 작성했다
キュートウェイトレス系を解放	큐트 웨이트리스 계열 해방
よりどりみどり	마음대로 고르기
フリーメイドを3人作成した	프리 메이드를 3명 작성했다
メイドの花園	메이드의 화원
フリーメイドを5人作成した	프리 메이드를 5명 작성했다
旧メイド服系を解放	구 메이드복 계열 해방
貴方だけのメイド	당신만의 메이드
専属メイドを1人作成した	전속 메이드를 1명 작성했다
メイドハーレム	메이드 하렘
専属メイドを3人作成した	전속 메이드를 3명 작성했다
メイド王国	메이드 왕국
専属メイドを5人作成した	전속 메이드를 5명 작성했다
ここがスタートライン	여기가 스타트 라인
借金を返済した	빚을 갚았다
プリンセス・バインドを解放	프린세스・바인드 해방
小金持ち	작은 부자
現在の資金が100万を超えた	현재 자금이 100만을 넘었다
大金持ち	큰 부자
現在の資金が1000万を超えた	현재 자금이 1000만을 넘었다
ナース系を解放	간호사 계열 해방
大盤振る舞い	통큰 씀씀이
ショップで総額1億CRの買い物をした	상점에서 1억 CR이상을 사용했다
新生エンパイアクラブ	신생 엠파이어 클럽
クラブグレードが★★★★★になった	클럽 그레이드가 ★★★★★ 되었다
ノービスメイド-レベル5	노비스 메이드 - 레벨5
ノービスメイドレベル5になった	노비스 메이드 레벨5가 되었다
ラブリーメイド-レベル5	러블리 메이드 - 레벨5
ラブリーメイドレベル5になった	러블리 메이드 레벨5가 되었다
エレガンスメイド-レベル5	엘레강스 메이드 - 레벨5
エレガンスメイドレベル5になった	엘레강스 메이드 레벨5가 되었다
セクシーメイド-レベル5	섹시 메이드 - 레벨5
セクシーメイドレベル5になった	섹시 메이드 레벨5가 되었다
イノセントメイド-レベル5	이노센트 메이드 - 레벨5
イノセントメイドレベル5になった	이노센트 메이드 레벨5가 되었다
チャームメイド-レベル5	챠밍 메이드 - 레벨5
チャームメイドレベル5になった	챠밍 메이드 레벨5가 되었다
レディメイド-レベル5	레이디 메이드 - 레벨5
レディメイドレベル5になった	레이디 메이드 레벨5가 되었다
デビューメイド-レベル5	데뷔 메이드 - 레벨5
デビューメイドレベル5になった	데뷔 메이드 레벨5가 되었다
エスコートメイド-レベル5	에스코트 메이드 - 레벨5
エスコートメイドレベル5になった	에스코트 메이드 레벨5가 되었다
ルードネスメイド-レベル5	루드니스 메이드 - 레벨5
ルードネスメイドレベル5になった	루드니스 메이드 레벨5가 되었다
バスタオルを解放	목욕타월 해방
スウィートメイド-レベル5	스위트 메이드 - 레벨 5
スウィートメイドレベル5になった	스위트 메이드 레벨5가 되었다
パーティメイド-レベル5	파티 메이드 - 레벨 5
パーティメイドレベル5になった	파티 메이드 레벨5가 되었다
ソープメイド-レベル5	소프 메이드 - 레벨5
ソープメイドレベル5になった	소프 메이드 레벨5가 되었다
フェスティバルメイド-レベル5	페스티벌 메이드 - 레벨 5
フェスティバルメイドレベル5になっ	페스티벌 메이드 레벨5가 되었다
た	\0
アブノーマルメイド-レベル5	앱노멀 메이드 - 레벨5
アブノーマルメイドレベル5になった	앱노멀 메이드 레벨5가 되었다
スレイブメイド-レベル5	슬레이브 메이드 - 레벨5
スレイブメイドがレベル5になった	슬레이브 메이드 레벨5가 되었다
セックススレイブメイド-レベル5	섹스 슬레이브 메이드 - 레벨 5
セックススレイブメイドレベル5にな	섹스 슬레이브 메이드 레벨5가 되었다
サービスメイド-レベル5	서비스 메이드 - 레벨5
サービスメイドレベル5になった	서비스 메이드 레벨5가 되었다
ロイヤルソープメイド-レベル5	로열 소프 메이드 - 레벨5
ロイヤルソープメイドレベル5になっ	로열 소프 메이드 레벨5가 되었다
インモラルメイド-レベル5	임모럴 메이드 - 레벨5
インモラルメイドレベル5になった	임모럴 메이드 레벨5가 되었다
