主人公の名前を決めて下さい。	주인공의 이름을 결정해 주세요.
目の前には綺麗な女性と、俺の叔父がいた。	눈앞에는 예쁜 여성과 나의 숙부가 있었다.
いえ、全然。久しぶりですね叔父さん。	아니요, 괜찮습니다. 오래간만이네요 숙부님.
何の変哲も無い、特筆するべき事もない普通の一般市民である俺。	어떤 별다름도 없는, 특필해야 할 일도 없는 보통 일반 시민인 나.
そんな俺は、すごく久しぶりに叔父から呼び出されていた。	그런 나는, 굉장히 오랫만에 숙부로부터 불려 가고 있었다.
叔父さんが何か、特殊な仕事をしているのはぼんやり聞いていましたけど……	숙부가 뭔가, 특수한 일을 하고 있는 것은 멍하니 (듣)묻고 있었습니다만……
俺の視線は、どうしても叔父の隣にいる女性にいってしまう。	나의 시선은, 아무래도 숙부의 근처에 있는 여성에게 말해 버린다.
すごく綺麗だな。	굉장히 예쁘다.
彼女の事が気になるかい？　彼女は私の伴侶となる女性だよ。	그녀가 신경이 쓰일까? 그녀는 나의 반려가 되는 여성이야.
えっ！？　あ……おめでとうございます。	어!? 아…… 축하합니다.
私はこのメイドと結婚して『エンパイアクラブ』のオーナーを引退するんだ。	나는 이 메이드와 결혼해 『엠파이어 클럽』의 오너를 은퇴한다.
はい？	네?
単刀直入に言うよ、私の『エンパイアクラブ』を引き継いでくれないかな？	단도직입적으로 말하지, 나의 『엠파이어 클럽』를 계승해 주지 않겠나?
…………え？　えっ？	…………에? 엣?
叔父が結婚？	숙부가 결혼?
……『エンパイアクラブ』？　『メイド』？	……『엠파이어 클럽』? 『메이드』?
……引き継ぐ？	……계승해?
ちょ、ちょっと待って、叔父さん、訳が分からない事が多過ぎます！	조금 기다려, 숙부, 도무지 알 수 없는 것이 너무 많습니다!
ふふ、ちなみに隣にいる女性は私の専属メイドだ。	후후, 덧붙여서 근처에 있는 여성은 나의 전속 메이드다.
はぁ……	하아……
メイドってあの、ご主人様～、とかいう奴なのかな。	메이드는 저, 주인님~, 라든가 하는 녀석인가.
専属メイド……叔父の専用のメイドって事かな。	전속 메이드…… 숙부의 전용의 메이드라는 일일까.
