$^遠いところありがとうね、(.+?)くん。$	먼 곳까지 와줘서 고마워요, $1군.
$^今日、(.+?)くんを呼び出したのは他でも無い。$	오늘, $1군을 호출한 것은 다른게 아니라.
$^もし引き受けてくれたら、このエンパイアクラブだけではなく、(.+?)くんの専属メイドをつけてあげるよ。$	만약 맡아 주면, 이 엠파이어 클럽 만이 아니고, $1군의 전속 메이드를 붙여 준다.
$^その超高級なクラブと、凄く綺麗な女性が(.+?)くんのものになる。$	그 초고급 클럽과 굉장히 예쁜 여성이 $1군의 것이 된다.
$^そんな日々を、(.+?)くんにも味わって欲しいのだけれども……$	그런 나날을, $1군에게도 맛보았으면 좋은 것 만……
$^悪い話じゃない、(.+?)くん、さぁ。$	나쁜 이야기가 아니다, $1군, 자.
$^ああ、どうかなメイド長。(.+?)は立派なメイドに育ったかな？$	아아, 어때 메이드장. $1는 훌륭한 메이드로 성장한걸까?
$^(.+?)はメイド長の話を黙って聞いていた。$	$1는 메이드장의 이야기를 가만히 듣고 있었다.
$^(.+?)は健気にも、そう言ってくれる。$	$1는 기특하게도, 그렇게 말해 준다.
$^……(.+?)を、『専属メイド』として残らせる方法は無いかな？$	……$1를 『 전속 메이드 』로 남기는 방법은 없을까?
$^このまま(.+?)だけに無理をさせるなんて、そんな事はしたくなかった。$	이대로 $1에게 무리를 시킨다니 그런 일은 하고 싶지 않았다.
$^もし、(.+?)を我慢させるほうを選んでも、ずっとその事って俺は引き摺ると思うんだ。$	만약, $1를 참게 하는 편을 선택해도, 쭉 그 일은 나는 질질 끈다고 생각한다.
$^ああ、(.+?)、メイド長……これからもよろしくな。$	아아, $1, 메이드장…… 앞으로도 잘 부탁해.
$^(.+?)には悪いけど、『Ｆｒｅｅメイド』として諦めてもらおう。$	$1에는 안됐지만, 『프리 메이드』로서 단념해 주자.
$^それに、メイドがお客様にそういった接待をするのは、(.+?)だって理解しているだろうし。$	게다가, 메이드가 손님에 그렇게 말한 접대를 하는 것은, $1도 이해하고 있을 것이고.
$^ごめんね(.+?)。Ｆｒｅｅメイドとして働いてくれると嬉しいな。$	미안해 $1. Free 메이드로서 일해주면 좋겠어.
$^(.+?)がＦｒｅｅメイドとして働くだけで大丈夫なの？$	$1가 Free 메이드로서 일하는 것 만으로 괜찮은 거야?
$^(.+?)には悪いけれど、仕方の無い事だ。$	$1에게는 나쁘지만, 다른 방도가 없어.
$^ああ、どうかなメイド秘書。(.+?)は立派なメイドに育ったかな？$	아아, 어떨까 메이드 비서. $1는 훌륭한 메이드로 자랐어?
$^本格的な経営を始める為の資金が無いと、(.+?)を『専属メイド』にできない……$	본격적인 경영을 시작하기 위한 자금이 없으면 $1를 『전속 메이드』로 할 수 없다……
$^……(.+?)を『Ｆｒｅｅメイド』にすれば、その為の資金は用意できるんだね。$	…… $1를 『프리 메이드』로 하면, 이를 위한 자금은 준비할 수 있는 것이다.
$^(.+?)はメイド秘書の話を黙って聞いていた。$	$1는 메이드 비서의 이야기를 입 다물고 듣고 있었다.
$^(.+?)は強がって、そう言ってくれる。$	$1는 강한척 하면서 그렇게 말해준다.
$^俺は、(.+?)の事を……$	나는, $1의 일을……
$^それで(.+?)を『Ｆｒｅｅメイド』をせずに済むって事か。$	그래서 $1를 『프리 메이드』로 하지 않겠다는 것이군요.
$^ああ、(.+?)、メイド秘書……これからもよろしくな。$	아아, $1, 메이드 비서……앞으로도 아무쪼록.
$^そう言う(.+?)は、ほっとしたような微笑みを浮かべていた。$	그렇게 말하는 $1는 안심한 듯한 미소를 짓고 있었다.
$^どんとこいだよ、(.+?)。$	심쿵한거야, $1.
$^やぁ、(.+?)くん。$	이야, $1군.
$^はっはっは、そう怒らないでくれよ。今日は(.+?)くんに良い話を聞かせてあげようと思って電話をかけたんだから。$	하하하, 그렇게 화내지 말아줘. 오늘은 $1군에게 좋은 이야기를 들려주려고 생각해서 전화를 걸었으니까.
$^たしかに(.+?)と楽しく過ごせているが、エンパイアクラブの再建も行わなくてはならない。$	분명히 $1와 즐겁게 보내고 있겠지만, 엠파이어 클럽의 재건도 하지 않으면 안 된다.
$^彼女は将来有望だと思うが何分まだ新人だ。(.+?)同様、しっかり育ててあげるんだぞ。$	그녀는 장래가 유망하다고 생각하지만 아직은 신인이다. $1같이 확실히 길러 줘.
$^それじゃあね、(.+?)くん。体には気をつけるんだぞ。$	그럼, $1군. 몸조심하고.
$^突然言い渡された、(.+?)とは違うもう一人のメイドの存在。叔父さん曰く将来有望……だけど新人。$	돌연 선고받은, $1와는 다른 또 한사람의 메이드의 존재. 삼촌이 말하길 장래가 유망…… 하지만 신인.
$^まぁ、こういうのはなるようにしかならないか。案外(.+?)のように俺の理想がつまったようなメイドが来てくれるかもしれない。$	뭐, 이런 것은 할 수 밖에 없지 않을까. 의외로 $1와 같이 나의 이상형인 메이드가 와 줄지도 모른다.
$^別に、格好つけるわけでもなく本当にそう思う。ただ俺は、(.+?)やみんなのサポートに徹しただけだ。$	별로, 폼잡는 게 아니라 정말로 그렇게 생각해. 다만 나는, $1나 모두의 지원에 충실했을 뿐이야.
$^本当に良く頑張ってくれたね、(.+?)。\1は俺の誇りだよ。$	정말로 많이 노력해줬어, $1. $1는 나의 자랑이야.
$^冗談交じりに、(.+?)にそう言う。$	농담으로, $1에게 그렇게 말한다.
$^しっかり、真っ直ぐに俺を見つめて(.+?)はそう言ってくれる。$	확실히, 똑바로 나를 쳐다보고 $1는 그렇게 말해 주었다.
$^当たり前だよ、(.+?)こそずっと俺のメイドでいてくれよ？$	당연한 거라고. $1야 말로 앞으로도 계속 나의 메이드로 있어 줄래?
$^(.+?)……ずっと俺のメイドでいてくれよ？$	$1……쭉 나의 메이드로 있어줘?
$^ちょっとだけ恥ずかしい俺の言葉に、(.+?)は当然よ、に頷く。$	조금 부끄러운 나의 말에 $1는 당연한 듯이 고개를 끄덕인다.
$^ちょっとだけ恥ずかしい俺の言葉に、(.+?)は撫子のように微笑んだ。$	조금 부끄러운 나의 말에, $1는 패랭이꽃과 같이 미소지었다.
$^(.+?)は順調にメイドとして成長してきている。$	$1은 순조롭게 메이드로 성장하고 있다.
$^教養を得させる為に、(.+?)に新しいメニューをやらせてみる事にする。$	교양을 얻게 하기 위해 $1에 새로운 메뉴를 시켜보기로 했다.
$^これで(.+?)は読書によって、色々な刺激を得る事ができるだろう。$	이걸로 $1는 독서에 의해서 여러가지 자극을 얻을 수 있을 것이다.
$^俺は(.+?)に自分でメイクをさせる事にする。$	나는 $1에게 스스로 화장을 하도록 시켰다.
$^(.+?)の昼間のメニューに、俺はエステを加える事にした。$	나는 $1의 오전 스케줄에 에스테를 추가하기로 했다.
$^エステティシャンのテクニックによって、(.+?)の可憐さと魅惑にさらに磨きがかかるだろう。$	에스테티션의 테크닉에 의해서 $1의 가련함과 매혹이 더 세련되어질 것이다.
$^はは、俺は魅力的な(.+?)と話したいんだよ。$	하하, 나는 매력적인 $1이라고 말하고 싶어.
$^うーん……(.+?)に実はそんな一面があったらなぁって……まぁ男の妄想だよ、ごめんね？$	음…… $1에 사실 그런 면이 있었으면 하는…… 뭐, 남자의 망상이야. 미안해?
$^(.+?)も遠慮しなくていいんだよ？$	$1도 사양하지 않아도 된다구?
$^俺は、まぁ……(.+?)の胸は好きだよ？$	나는 뭐……$1의 가슴은 좋아한다구?
$^そうだね……でも、エッチだね、(.+?)。$	그러네…… 그래도 야하네, $1.
$^ああ、うん……俺もなんだかドキドキしてきたよ、(.+?)。$	아아, 응…… 나도 뭔가 두근두근하기 시작했어, $1.
$^ご主人様としては、(.+?)の好みは気になるなぁ……$	주인님으로서는, $1의 취향이 신경쓰이는데……
$^いや……はは、思ったよりエッチで可愛いね、(.+?)。$	아니…… 하하, 생각했던 것보다 야하고 귀엽네, $1.
$^(.+?)は、思ったよりエッチで素敵なんだね。$	$1는, 생각보다 야하고 멋지네.
$^あぁ、そうだ。エンパイアクラブから、(.+?)への衣装が届いていたな。$	아, 맞다. 엠파이어 클럽으로부터, $1에의 의상이 도착해 있었지.
$^とても似合ってるよ、(.+?)。$	너무 잘 어울리네, $1.
$^安心したような(.+?)を見ながら、俺は面接を終えるのだった。$	안심한 것 같은 $1을 보면서 나는 면접을 끝내는 것이었다.
$^おちんちんの事に決まってるだろ？　(.+?)にそんな風に現れたら、すぐにガチガチに勃起するだろうし……$	자지인 게 당연하잖아? $1가 그런식으로 나타나면 바로 딱딱하게 발기할테고……
$^現にいまだって、エッチな格好をしている(.+?)を見ていたら……ちょっと苦しいかな。$	실제로 지금도 야한 모습을하고있는 $1를 보고 있으면 …… 조금 괴롭다고 할까.
$^へぇ、(.+?)は大胆なんだね。$	헤에, $1는 대담하구나.
$^そうなんだ、お客様にされちゃう事もあるかもしれないけど……(.+?)のファーストキスの相手は、多分俺になるかな。$	그러네. 손님에게 당하게 될 지도 모르지만…… $1의 퍼스트 키스 상대는 아마도 내가 될 걸.
$^(.+?)みたいな魅力的な女性を抱く事になったら、たぶん俺は勝手に好きだって言葉が出てくるだろうけどね。$	$1같이 매력적인 여성을 품게 되면, 아마도 나는 멋대로 좋아한다는 말이 나오게 되겠지.
$^ひょっとして、(.+?)ってチョロい？$	혹시, $1는 쉬운여자?
$^ふふ、(.+?)は大胆だね……ねえ、どんな風なエッチにするの？$	후후, $1는 대담하네……저기, 어떤 식으로 음란하게 하는 거야?
$^(.+?)ってサドなの？$	$1는 사디스트야?
$^えっと、ひょっとしてって感じで聞くんだけどさ、(.+?)ってひょっとして普通におまんこでした事無い……とか？$	음, 혹시나 해서 물어보는 건데 말야. $1는 혹시 평범하게 보지로 해 본 적이 없다……라는 거야?
$^はぁ、なるほどな……随分変わってるね、(.+?)って……$	하아, 그렇구나…… 꽤나 특이하네, $1는……
$^あれ、返事が無いな、(.+?)……？$	어라, 대답이 없네, $1……?
$^全ての男がそうだって訳じゃないけど、(.+?)みたいにツンツンした女の子を組み敷きたいっていうのは、分かる願望かな。$	모든 남자가 그런 건 아니지만, $1처럼 츤츤거리는 여자를 유린하고 싶다는 것은 이해할 수 있는 욕망이라고 할까.
$^それは(.+?)の態度次第かな。$	그건 $1가 하기 나름이라고 할까.
