$^あー……何と言ったかな……そうそう、(.+?)ちゃんだ。$	아―…… 뭐라고 말했을까나…… 그래그래, $1짱이다.
$^なるほど、(.+?)の事を気に入ったのか。$	과연, $1의 일을 마음에 들었는가.
$^客は(.+?)が俺の専属メイドだと知った上で、自分の相手をさせたいと言っていた。$	손님은 $1이 나의 전속 메이드라고 안 다음, 자신의 상대를 시키고 싶다고 하고 있었다.
$^（(.+?)を抱かせるのか……）$	($1를 안게 하는 것인가……)
$^おお、そうか！　良かったよ、流石は(.+?)くんだ！$	오오, 그런가! 좋았어요, 과연 $1군이다!
$^そうそう、このことは(.+?)ちゃんいは内緒にしておいてくれ。$	그렇게 자주, 이 일은 $1짱 있고는 비밀로 해 두어 줘.
$^さて、後は(.+?)にどう説明するかだが。$	그런데, 뒤는 $1에 어떻게 설명할까이지만.
$^電話を切った直後、(.+?)がお茶を持って入ってくる。$	전화를 끊은 직후, $1가 차를 가지고 들어 온다.
$^そのお茶を一口飲んで自分を落ち着かせ、何気ない感じで(.+?)に切り出す。$	그 차를 한입 마셔 자신을 침착하게 해 아무렇지도 않은 느낌으로 $1에 자른다.
$^(.+?)に客が付いたんだけど、普通の接待だけだから、よろしく頼むよ。$	$1에 손님이 뒤따른 것이지만, 보통 접대만이니까, 아무쪼록 부탁한다.
$^(.+?)は俺の言ってることを、一言も疑っている様子は無い。$	$1는 내가 말하고 있는 일을, 한마디도 의심하고 있는 모습은 없다.
$^(.+?)は自信たっぷりに\1はしっかりと頷き返してくる。$	$1는 자신 가득 $1은 제대로 수긍해 돌려주어 온다.
$^そんな(.+?)に、俺は僅かな罪悪感と、そして何とも言えない興奮を味わっていた。$	그런 $1에, 나는 얼마 안되는 죄악감과 그리고 뭐라고도 말할 수 없는 흥분을 맛보고 있었다.
$^ああ、君が(.+?)ちゃんだね。今日はよろしく頼むよ。$	아, 너가 $1짱이구나. 오늘은 아무쪼록 부탁한다.
$^(.+?)ちゃんはこの仕事、もう長いのかな？$	$1짱은 이 일, 이제(벌써) 긴 것인지?
$^いやいや、本当に素晴らしいと思うよ、(.+?)ちゃんは。$	아니아니, 정말로 훌륭하다고 생각하는, $1짱은.
$^そもそも、皆に見られても良かったのかな？　(.+?)ちゃんのエッチな姿を……$	원래, 모두에게 보여져도 좋았던 것일까? $1짱의 엣치한 모습을……
$^ふむぅ……しかし、(.+?)ちゃんのここは、ちっとも嫌がってないけどね。$	…… 그러나, $1짱의 여기는, 조금도 싫어하지 않지만 말야.
$^ふふ……(.+?)ちゃんは本当に可愛いねぇ……$	후후…… $1짱은 정말로 사랑스럽다……
$^(.+?)ちゃんは彼のお気に入りなんだろう？$	$1짱은 그의 마음에 드는 것일 것이다?
$^そんな私が来なくなって、店のサービスが低下したと噂にでもなったら……さて、どうなるかな？　(.+?)ちゃんには分かるかい？$	그런 내가 오지 않게 되어, 가게의 서비스가 저하했다고 소문이라도 되면…… 그런데, 어떻게 될까나? $1짱에게는 알까?
$^うんうん、そうかそうか！　本当に良く出来たメイドだね、(.+?)ちゃんは。$	응응, 그런가 그런가! 정말로 잘 할 수 있던 메이드구나, $1짱은.
$^どうだい、気持ちいいかい？　(.+?)ちゃんはどうされるのが好きなのかな？$	어때, 기분이 좋은가? $1짱은 어떻게 하시는 것을 좋아하는 것일까?
$^君はエッチな子なんだよ、(.+?)ちゃん。いや、淫乱と言っても良い。$	너는 엣치한 아이야, $1짱. 아니, 음란이라고 말해도 좋다.
$^いやぁ、私ももう満足しちゃったかな。(.+?)ちゃんの事、これ以上は苛めたくないなぁ。$	아니, 나도 벌써 만족해 버렸을까나. $1짱의 일, 더 이상은 괴롭히고 싶지 않구나.
$^どうだった、(.+?)？$	어땠던, $1?
$^そうか、お疲れ様。ありがとう、(.+?)。$	그런가, 수고 하셨습니다. 고마워요, $1.
$^(.+?)。忙しいところありがとう。$	$1. 바쁜 곳 고마워요.
$^お待たせしてごめんなさい、お客様。本日の相手を務める、(.+?)よ。$	기다리게 해 미안해요, 손님. 오늘의 상대를 맡는, $1야.
$^キミの評判は(.+?)君や、キミと楽しんだことがある知り合いたちから色々聞いているよ。今日はキミに全部任せるから、私を楽しませてくれ。$	너의 평판은 $1군이나, 너와 즐겼던 적이 있는 아는 사람들로부터 여러가지 (듣)묻고 있어. 오늘은 너에게 전부 맡기기 때문에, 나를 즐겁게 해 주고.
